timestamp, filename, label, confidence
2026-05-09 20:23:23,animal_20260509_202323.jpg,animal,0.86
2026-05-09 20:23:46,animal_20260509_202346.jpg,animal,0.76
2026-05-09 20:24:04,animal_20260509_202404.jpg,animal,0.53
2026-05-09 20:24:32,animal_20260509_202432.jpg,animal,0.50
2026-05-09 20:25:00,animal_20260509_202500.jpg,animal,0.88
2026-05-09 20:26:14,animal_20260509_202614.jpg,animal,0.42
2026-05-09 20:26:40,animal_20260509_202640.jpg,animal,0.86
2026-05-09 20:27:00,animal_20260509_202700.jpg,animal,0.92
2026-05-09 20:28:05,animal_20260509_202805.jpg,animal,0.84
2026-05-09 20:28:32,animal_20260509_202832.jpg,animal,0.84
2026-05-09 20:28:54,animal_20260509_202854.jpg,animal,0.52
2026-05-09 20:30:14,animal_20260509_203014.jpg,animal,0.81
2026-05-09 20:30:35,animal_20260509_203035.jpg,animal,0.85
2026-05-09 20:31:14,animal_20260509_203114.jpg,animal,0.89
2026-05-09 20:31:41,animal_20260509_203141.jpg,animal,0.73
2026-05-09 20:44:25,animal_20260509_204425.jpg,animal,0.93
2026-05-09 22:59:17,animal_20260509_225917.jpg,animal,0.81
